date,time,toplam,dogalgaz,ruzgar,linyit,tasKomur,ithalKomur,fuelOil,jeotermal,barajli,nafta,biokutle,akarsu,gunes,diger
2025-02-14 01:00:00+00:00,04:00,31910.0,6193.22,2810.18,3930.7,133.0,9202.8,7.4,1166.49,6546.33,0.0,938.89,770.19,0.0,210.8
2025-02-14 02:00:00+00:00,05:00,32356.55,6761.02,2887.61,3963.3,133.0,9203.5,7.4,1168.65,6311.33,0.0,937.09,772.85,0.0,210.8
2025-02-14 03:00:00+00:00,06:00,33384.51,8339.04,2943.08,3971.6,133.0,9203.5,7.4,1168.32,5619.03,0.0,918.74,852.44,0.56,227.8
2025-02-14 04:00:00+00:00,07:00,35440.1,9689.34,3064.73,3979.6,133.0,9203.5,7.4,1168.43,5968.53,0.0,925.61,1050.92,15.14,233.9
2025-02-14 05:00:00+00:00,08:00,39892.17,10265.74,3277.45,4030.8,133.0,9207.5,10.2,1167.22,8724.13,0.0,931.7,1575.03,335.5,233.9
2025-02-14 06:00:00+00:00,09:00,41116.5,10207.76,3398.78,4025.7,193.0,9224.5,18.9,1163.8,9078.13,0.0,935.46,1673.77,962.8,233.9
2025-02-14 07:00:00+00:00,10:00,40365.44,10351.72,3394.63,3799.29,253.0,9238.5,21.2,1158.34,8310.53,0.0,958.95,1360.38,1284.8,234.1
2025-02-14 08:00:00+00:00,11:00,39123.45,9395.26,3300.39,3815.9,268.0,9241.5,24.4,1149.9,8052.23,0.0,964.77,1263.42,1413.58,234.1
2025-02-14 09:00:00+00:00,12:00,36006.73,6768.02,3313.53,3943.1,268.0,9242.5,26.2,1142.5,7457.43,0.0,960.34,1054.39,1596.62,234.1
2025-02-14 10:00:00+00:00,13:00,34884.03,6445.72,3306.59,3934.2,268.0,8622.5,18.2,1145.56,7197.43,0.0,970.38,1032.62,1708.73,234.1
2025-02-14 11:00:00+00:00,14:00,37433.09,7577.11,3331.07,3936.19,268.0,9240.5,22.0,1137.25,7873.43,0.0,976.05,1125.59,1710.4,235.5
2025-02-14 12:00:00+00:00,15:00,38977.92,8534.91,3268.57,3964.5,268.0,9237.5,17.4,1130.41,8603.43,0.0,968.04,1132.06,1614.6,238.5
2025-02-14 13:00:00+00:00,16:00,41569.27,10786.02,3092.19,3978.9,268.0,9218.5,13.2,1128.21,9375.93,0.0,960.52,1241.27,1265.93,240.6
2025-02-14 14:00:00+00:00,17:00,43688.9,11481.02,3048.82,3984.0,268.0,9182.5,10.0,1127.56,11112.23,0.0,952.81,1849.54,431.82,240.6
2025-02-14 15:00:00+00:00,18:00,44270.65,11892.59,3092.3,4089.8,268.0,9178.5,7.4,1130.64,11506.23,0.0,947.57,1910.51,6.51,240.6
2025-02-14 16:00:00+00:00,19:00,44161.08,11809.32,3452.73,4127.6,268.0,9203.5,7.4,1138.42,11215.33,0.0,951.57,1746.71,0.0,240.5
2025-02-14 17:00:00+00:00,20:00,43054.81,11625.65,3851.61,4087.6,268.0,9203.5,7.4,1145.1,10207.53,0.0,941.25,1476.67,0.0,240.5
2025-02-14 18:00:00+00:00,21:00,41972.51,11461.21,4074.77,3999.6,268.0,9203.5,7.4,1151.88,9307.63,0.0,935.6,1322.42,0.0,240.5
2025-02-14 19:00:00+00:00,22:00,40387.17,10837.92,4247.11,4035.3,268.0,9203.5,7.4,1157.97,8322.53,0.0,946.76,1120.18,0.0,240.5
