date,price,lep,planned_total_gen,ruzgar,gunes,planned_gas_gen,price_independent_sales,gas_price,temperature,wind_speed,solar_radiation,precipitation,cloud_cover,sfk_price,pfk_price,hour,day_of_week,month,is_weekend,is_holiday,price_lag_24,price_lag_48,price_lag_168,smp_lag_24,sfk_lag_24,pfk_lag_24,gen_deviation_lag_24,price_volatility_24h,price_momentum_24h,price_rolling_24h_mean,price_rolling_168h_mean,demand_supply_ratio,pi_offer_ratio,gas_price_lag_24,elec_gas_ratio
2025-08-24 08:00:00+00:00,779.99,39363,40167.51,6006.32,16821.82,3330.89,23907.7,14298.87,27.23333333333333,12.466666666666669,580.3333333333334,0.0,1.0,4488.2,829.81,8,6,8,1,0,2820.0,2970.0,999.99,3400.0,480.0,509.67,-11596.510000000002,353.42500484829606,-150.0,3184.525416666667,3057.3963095238096,0.9799467294156542,0.5951851338274683,14323.9,0.19686001298438385
2025-08-24 09:00:00+00:00,754.1,39884,40653.95,6237.17,17302.92,3392.38,24442.0,14298.87,28.633333333333336,12.800000000000002,689.6666666666666,0.0,4.0,4488.2,829.81,9,6,8,1,0,2550.01,2600.91,1011.0,3400.0,480.0,509.67,-11875.549999999996,357.21186577718555,-50.899999999999636,3182.404583333333,3064.331488095238,0.981036749522506,0.6012060032050218,14323.9,0.17801241195401016
2025-08-24 10:00:00+00:00,1048.0,40472,41586.06,6476.19,17044.29,3744.28,24114.1,14298.87,29.53333333333333,13.166666666666666,723.6666666666666,0.0,7.333333333333333,4488.2,829.81,10,6,8,1,0,2777.24,2010.01,1900.0,3400.0,480.0,509.67,-11384.059999999998,271.8639228068686,767.2299999999998,3214.3725,3069.8508333333334,0.9731873327905364,0.5798462310151282,14323.9,0.19387500087260642
2025-08-24 11:00:00+00:00,1400.0,41150,41733.8,6771.22,15855.09,3926.68,23275.4,14298.87,29.9,15.266666666666666,679.0,0.0,12.666666666666666,4488.2,829.81,11,6,8,1,0,1900.0,2920.0,1399.99,3400.0,480.0,509.67,-10842.780000000006,378.64172167565386,-1020.0,3171.8725,3075.207976190476,0.9859877128918791,0.5576976527981444,14323.9,0.13263617896110969
2025-08-24 12:00:00+00:00,1000.01,41262,41609.72,7061.88,13618.54,4164.65,21800.4,14298.87,29.9,16.8,607.0,0.0,9.0,2999.0,1100.48,12,6,8,1,0,2500.01,3144.45,1811.97,3400.0,1087.17,778.96,-8689.57,402.753709689762,-644.4399999999996,3145.0208333333335,3084.1365476190476,0.9916194672911212,0.5239130685554108,14323.9,0.1745219861918757
2025-08-24 13:00:00+00:00,1811.97,41424,41592.51,7249.38,10241.99,4930.38,19362.9,14298.87,29.666666666666668,16.866666666666664,512.6666666666666,0.0,12.333333333333334,2999.0,1100.48,13,6,8,1,0,3096.0,3400.0,2950.0,3300.0,1087.17,778.96,-6160.75,399.15022046211095,-304.0,3132.3541666666665,3091.2555952380953,0.9959246045837439,0.4655269536040599,14323.9,0.2161271631913661
2025-08-24 14:00:00+00:00,2413.64,41867,41844.21,7643.01,5973.48,7962.69,16564.3,14298.87,29.266666666666666,15.7,377.0,0.0,8.333333333333334,2999.0,1100.48,14,6,8,1,0,3170.0,3400.0,3210.01,3400.0,1087.17,778.96,-1758.989999999998,395.1862200215888,-230.0,3122.7708333333335,3091.719880952381,1.0005207286568762,0.3958469798574317,14323.9,0.2212929933193251
2025-08-24 15:00:00+00:00,3290.0,42907,42609.06,7890.6,1791.57,11632.17,13664.5,14298.87,28.73333333333333,16.3,245.0,0.0,17.333333333333332,877.71,993.97,15,6,8,1,0,3315.24,3400.0,3400.0,3400.0,877.71,1001.97,1326.0800000000017,392.97352718582016,-84.76000000000022,3119.2391666666667,3092.120119047619,1.0069687768569207,0.3206871804451813,14323.9,0.23143198207317328
2025-08-24 16:00:00+00:00,3400.0,44252,43373.87,8049.9,160.06,12377.62,12669.9,14298.87,27.100000000000005,18.766666666666666,89.66666666666667,0.0,0.3333333333333333,877.71,993.97,16,6,8,1,0,3400.0,3400.0,3400.0,3400.0,877.71,1001.97,2935.909999999996,392.97352718582016,0.0,3119.2391666666667,3092.126011904762,1.020222077899023,0.2921023163873459,14323.9,0.23734895182514365
2025-08-24 17:00:00+00:00,3400.0,45390,44373.33,8220.05,25.58,12386.79,12398.3,14298.87,25.166666666666668,16.76666666666667,8.0,0.0,1.3333333333333333,877.71,993.97,17,6,8,1,0,3400.0,3400.0,3400.0,3400.0,877.71,1001.97,2952.199999999997,392.97352718582016,0.0,3119.2391666666667,3092.1260714285713,1.022888683615054,0.2794025284438097,14323.9,0.23734895182514365
2025-08-24 18:00:00+00:00,3400.0,44685,43864.24,8220.53,24.95,12429.85,12443.8,14298.87,23.96666666666667,14.199999999999998,0.0,0.0,1.6666666666666667,697.71,966.97,18,6,8,1,0,3400.0,3400.0,3400.0,3400.0,877.71,1175.98,2349.6100000000006,392.97352718582016,0.0,3119.2391666666667,3092.1319642857143,1.0186881457846806,0.2836824784271099,14323.9,0.23734895182514365
2025-08-24 19:00:00+00:00,3290.0,42490,43136.49,8242.31,23.77,12409.42,12560.7,14298.87,23.03333333333333,16.099999999999998,0.0,0.0,2.6666666666666665,697.71,966.97,19,6,8,1,0,3400.0,3400.0,3400.0,3400.0,877.71,1175.98,1965.75,392.97352718582016,0.0,3119.2391666666667,3092.1379166666666,0.984990086349484,0.29117827671475555,14323.9,0.23734895182514365
2025-08-24 20:00:00+00:00,2996.0,42110,42082.96,8194.21,24.32,12165.9,12614.3,14298.87,22.100000000000005,15.7,0.0,0.0,4.0,697.71,966.97,20,6,8,1,0,3266.13,3400.0,3400.0,3400.0,877.71,1175.98,1374.5299999999988,389.75198336015694,-133.8699999999999,3113.6612500000006,3091.9363095238095,1.0006187630631718,0.29974127910016074,14323.9,0.22800368588960482
2025-08-24 21:00:00+00:00,3349.99,40193,40171.03,8368.73,24.3,10442.09,13207.1,14305.26,21.23333333333333,14.433333333333332,0.0,0.0,6.0,597.72,700.0,21,6,8,1,0,3400.0,3400.0,3400.0,3400.0,745.1,997.71,2073.1199999999953,389.75198336015694,0.0,3113.6612500000006,3092.5910119047617,1.000522004987052,0.32876357007599566,14298.87,0.23776439925677645
2025-08-24 22:00:00+00:00,3230.0,38221,38133.05,8375.5,23.91,9661.01,12654.8,14305.26,20.6,12.933333333333332,0.0,0.0,8.0,597.72,700.0,22,6,8,1,0,3400.0,3400.0,3400.0,3400.0,745.1,997.71,2114.1299999999974,389.75198336015694,0.0,3113.6612500000006,3093.424345238095,1.0022801144908553,0.33185040665756715,14298.87,0.23776439925677645
2025-08-24 23:00:00+00:00,2526.99,36515,36095.18,8475.16,19.09,8036.1,12604.7,14305.26,20.0,12.199999999999998,0.0,0.0,6.0,597.72,700.0,23,6,8,1,0,3400.0,3400.0,3400.0,3400.0,745.1,997.71,2008.0699999999997,389.75198336015694,0.0,3113.6612500000006,3094.6147619047615,1.0116028898348801,0.34919761592500925,14298.87,0.23776439925677645
2025-08-25 00:00:00+00:00,2620.0,35385,34911.72,8628.15,23.0,6899.3,12921.4,14305.26,19.4,12.1,0.0,0.0,2.6666666666666665,497.71,700.0,0,0,8,0,0,3250.0,3400.0,3299.99,3400.0,847.18,1192.57,1845.3400000000038,386.1466758529799,-150.0,3107.4112500000006,3094.3171428571427,1.0135274478757312,0.37010579525170195,14298.87,0.2272747934072128
2025-08-25 01:00:00+00:00,2901.01,34774,34418.54,8670.67,31.15,6802.2,13054.0,14305.26,19.23333333333333,12.733333333333334,0.0,0.0,0.6666666666666666,497.71,700.0,1,0,8,0,0,3150.01,3348.99,3199.92,2201.0,847.18,1192.57,1245.239999999998,382.8563995919855,-198.97999999999956,3099.1204166666666,3092.829107142857,1.0102982201389095,0.3792613149391305,14298.87,0.22028242214789365
